,Article,Date,Heading,,,
1383,"COLOMBO: Lasith Malinga has stepped down as Sri Lanka captain ahead of their World Twenty20 title defence in India, the secretary of the country's cricket board told Reuters on Tuesday.",3/8/16,Malinga steps down as SLanka captain for World T20,,,
1384,A jury on Monday found a Nashville hotel liable for a nude video of sportscaster Erin Andrews that went viral and awarded her $55 million in damages to be paid by the hotel and the man who shot the video.,3/8/16,Jury finds hotel liable in Erin Andrews stalker video,,,
1385,"LOS ANGELES: Russian tennis star Maria Sharapova, the highest-paid woman in sports, said on Monday that she failed a drug test at the Australian Open due to a substance she has been taking for 10 years for health issues.",3/8/16,Tennis star Sharapova faces suspension after failing drug,,,
1386,"CAPE TOWN: After South Africa's success chasing in recent matches, Faf du Plessis decided they needed to have another go at defending a total and opted to set Australia a target on a slow Newlands pitch. South Africa opted to rest AB de Villiers and give Hashim Amla an opportunity to open with Quinton de Kock.That was one of three changes South Africa made to their XI. Rilee Rossouw was given another chance with Farhaan Behardien missing out and South Africa dispensed with one of their allrounders to fit Kyle Abbott into the XI. Abbott was included ahead of Chris Morris.Australia also changed their top two and left out Aaron Finch to allow Usman Khawaja to open with his Sydney team-mate Shane Watson. Their other changes came in the bowling department with Adam Zampa returning in Ashton Agar's place and Nathan Coulter-Nile displacing Josh Hazlewood.South Africa: Hashim Amla, Quinton de Kock (wk), Faf du Plessis (captain), JP Duminy, David Miller, Rilee Rossouw, 'David Wiese, Kagiso Rabada, Kyle Abbott, Dale Steyn, Imran TahiAustralia: Shane Watson, Usman Khawaja, David Warner, Steve Smith (captain), Glenn Maxwell, Mitchell Marsh, James Faulkner, Peter Nevill (wk), Adam Zampa, John Hastings, +Nathan Coulter-Nile'",3/9/16,South Africa bat in decider against Australi,,,
1387,"CAPE TOWN: South Africa staged a sensational comeback in defence of a below-par total to claim a first T20 series win over West Indies and sound a warning ahead of the World T20.South Africa's victory came less than three weeks after they beat England for the first time in a T20 and illustrated the progress the team has made since September 2014, when they were beaten 4-0 by England.West Indies, who have not lost a series in the same period of time, will be disappointed with their failure to complete a straightforward chase, especially as they were well on course.They had reached 81 for 3 in the 15th over and even though their captain Stafanie Taylor had been bowled around her legs by Dane van Niekerk, they had their other stalwart Deandra Dottin on hand.Dottin seemed to be striking the ball better than any of her team-mates but when she attempted a loft over long-on, she mistimed to spark a collapse. South Africa took four more wickets in the next 18 balls and then squeezed at the end to pull off a remarkable win.South Africa recovered from an early blow when Shamilia Connell had Trisha Chetty caught at slip and rebuilt cautiously through van Niekerk was joined and Mignon du Preez.The pair found the boundary just five times but rotated strike well to score at more than a run-a-ball and put on 48 for the second wicket. When van Niekerk was bowled as she tried to slog sweep Taylor over midwicket, and with the run-rate stagnating, du Preez took it on herself to try and force the pace. She managed only to gift a catch to short midwicket.Marizanne Kapp and Lizelle Lee also found it heavy going but with South Africa yet to reach 100 and only two overs left, they took some risks. Lee was the only batsman to clear the boundary and her efforts at the end gave South Africa something to defend but when West Indies knocked off the first 14 runs inside two overs, they would not have expected to be successful.Moseline Daniels had Kycia Knight trapped lbw to provide some early hope but that only brought Taylor to the crease. She tried to end matters quickly with her aggressive approach and when she was bowled, Dottin took over. It was only when Dottin was caught that South Africa fought back.Kyshona Knight departed soon after Dottin, sharp fielding resulted in the run-outs of Shermaine Campbell and Shaquana Quintyne and Shabnim Ismail took a good catch off her own bowling to give South Africa belief. Daniels and Ismail bowled tightly at the end and South Africa's fielders were on high alert to deny West Indies.'",3/9/16,South Africa women clinch thriller to take series 2 1,,,
1388,"DHARAMSALA: 'Minnows Ireland defeated experienced ICC associate Ireland by two wickets in an exciting World Twenty20 first round group A match here at the Himachal Pradesh Cricket Association Stadium on Wednesday night.Chasing 155, openers Zeeshan Maqsood (38) and Khawar Ali (34) provided a fine start of 69 and later Jatinder Singh (24) and Aamer Ali (32) gave a boost to their team.However, Oman completed the sensational victory with two balls remaining when Max Sorensen bowled a noball fulltoss which beat the batsman (Munis Ansari) and also the wicketkeeper (Niall O'Brien) for four byes.Off-spinner Andy McBrine, pacers Kevin O'Brien and Sorensen claimed two wickets each for Ireland.Earlier, Ireland made a good start after electing to bat first as their three top-order batsmen took them to 112 in 15 overs but later they failed to maintain the tempo and were restricted to 154 for five.Openers captain William Porterfield and Paul Stirling scored 29 each while Gary Wilson top-scored with 38.Oman seamer Munis Ansari captured three wickets for 37.Debutant Aamer of Oman was declared the Player of the Match at the end of the match.''",3/9/16,Oman stun Ireland with two wicket wi,,,
1389,"DHARAMSALA: Ireland set a competitive target of 155 for Oman in the fourth match of the World Twenty20, first round group A, here at the Himachal Pradesh Cricket Association Stadium on Wednesday night.After winning the toss and electing to bat first, Ireland made a good start and their three top-order batsmen took them to 112 in 15 overs but later they failed to maintain the tempo and were restricted to 154 for five.Openers captain William Porterfield and Paul Stirling scored 29 each while Gary Wilson top-scored with 38.Oman seamer Munis Ansari captured three wickets for 37.Ireland picked right-arm quick Craig Young in their three-pronged pace attack, and off-spinner Andy McBrine. They left out left-arm spinner George Dockrell and Andy Balbirnie.'",3/9/16,Ireland set 155 run target for O,,,
1390,"DHARAMSALA: Ireland captain William Porterfield won the toss and chose to bat in their opening match of the World T20 against Oman here at the Hiachal Pradesh Cricket Association Stadium on Wednesday.Ireland picked right-arm quick Craig Young in their three-pronged pace attack, and off-spinner Andy McBrine. They left out left-arm spinner George Dockrell and Andy Balbirnie.Oman captain Sultan Ahmed backed his bowling attack, with ""good spinners and pacers"". Bowling first, they would not have to face the dew factor if it comes into play later in the evening.Ireland: William Porterfield (captain), Paul Stirling, Andrew Poynter, Niall O'Brien, Gary Wilson (wk), Kevin O'Brien, Andrew McBrine, Max Sorensen, Tim Murtagh, Boyd Rankin, Craig YoungOman: Zeeshan Maqsood, Jatinder Singh, Ajay Lalcheta, Adnan Ilyas, Aamir Kaleem, Sultan Ahmed (captain & wk), Mehran Khan, Aamer Ali, Khawar Ali, Munis Ansari, Bilal Khan '",3/9/16,Ireland win toss bat against O,,,
1391,"KARACHI: Chairman Pakistan Cricket Board (PBC) Shaharyar Khan welcomed the decision, announced by the International Cricket Council (ICC), to relocate the ICC World Twenty20 India 2016 Super-10 Group-2 match between India and Pakistan from Dharamsala to Kolkata.'We welcome the decision for moving the match from Dharamsala to Kolkata. There were pressure on us and there was a public opinion to ask ICC to shift the match from Dharamsala. So, it is a welcome step by ICC and BCCI,' PCB Chief Shaharyar Khan said in a press briefing in Karachi.However, Shaharyar added both men and women teams' departure for India has been delayed and the teams will not be sent unless security of players is completely assured.  'The PCB has also today conveyed to ICC and BCCI that our government is expecting an assurance to Pakistan against specific threats to the Pakistan team from various political parties and groups during the tour. Pending this assurance and in accordance with the recommendation by the Security delegation, the PCB has decided to defer the departure of Pakistan men and women teams to India,' he added.   Earlier, announcing the decision, ICC Chief Executive David Richardson said: 'The decision has been taken following consultation with the BCCI, the relevant state associations, the ICC and BCCI security consultant and other relevant authorities.  'The decision to relocate the match has been made for security reasons. The concerns initially arose following alleged public comments recently reported by the Chief Minister of Hamachal Pradesh, warning of demonstrations and attempts to disrupt the peaceful conduct of the match.'Our concerns relate both to uncertainty as to the level of those threats, as well as the level of commitment to implement any security plan developed to mitigate such threats.'The decision was not taken lightly,"" Richardson said. ""The ICC and the BCCI understand the disappointment that is likely to be felt by many over the decision to move the match. But the safety and security of the event is of paramount importance to the ICC and we have taken into consideration the concerns shared with us by our security advisors as well as the Pakistan Cricket Board.  'As far as those who have purchased tickets online for the match, they will be offered the choice of a full refund or the opportunity to exchange their tickets for ones for the Kolkata match.'Finally, I would like to confirm that the ICC has been assured by all relevant state authorities that all adequate security measures are in place and will be implemented to ensure that the event is staged in a safe and secure environment for all stakeholders.'''",3/9/16,PCB hails ICC decision but seeks Indian Govt assur,,,
1392,"DHARAMSALA: Bangladesh won their first match in the first round Group A of the World T20 tournament against Netherlands, all due to a combined bowling effort and an earlier responsible batting display from Tamim Iqbal.Taskin Ahmed bowled a high-quality last over, giving away eight runs when Netherlands required 17 to win, to help Bangladesh start their World T20 campaign with an eight-run win in Dharamsala. The game had swung in nearly every over as neither team could take a hold of the contest.Mudassar Bukhari and Pieter Seelaar kept Netherlands in the hunt with a 16-run penultimate over, which also included the wicket of Tom Cooper. Bukhari was run-out in the last over, and neither Seelaar nor Logan van Beek could find the boundaries.Ultimately, Tamim Iqbal's unbeaten 83, as the rest of the Bangladesh batting line-up struggled, Mashrafe Mortaza's boundary-less last three overs and Taskin's accurate last over combined for Bangladesh's win.The game was in Netherlands' grasp when they needed 54 runs in the last five overs with seven wickets in hand. Captain Peter Borren started off the assault with a one-handed sweep through midwicket for four. Subsequently, he was dropped in the same region by Nasir Hossain before the same fielder caught him at the end of the over.In the next over, Mortaza, who conceded one four in his spell, was unlucky not to have Cooper's wicket after the ball struck the off stump but the bails didn't budge. Van der Merwe was removed later in the over though, the thin edge carrying to the Mushfiqur Rahim.''",3/9/16,Bangladesh record thrilling win over Netherland,,,
1393,"DHARAMSALA: Opener Tamim Iqbal played a responsible innings to steer Bangladesh to a competitive total against Netherlands in the third match of the World T20 first round group A here at the Himachal Pradesh Cricket Association Stadium on Wednesday.Sent into bat by Netherlands, Bangladesh made 153 for seven, thanks to Tamim, who stayed at the wicket from beginning till the end and scored an unbeaten 83. His 58-ball innings was laced with three sixes and six fours.No other batsman could make any significant contribution as only three players besides Tamim got into the double figures. They were Soumya Sarkar (15), Sabbir Rahman (15) and Mahmudullah (10).Seamer Timm van der Gugten was the most successful bowler for the Netherlands, taking three for 21 while Paul van Meekeren claimed two for 17.Bangladesh made one change, bringing in Arafat Sunny in place of left-arm pace bowler Abu Hider who was in the XI in the Asia Cup final. Netherlands went with the pace-bowling pair of Paul van Meekeren and Logan van Beek, and left out chinaman bowler Michael Rippon.This was Bangladesh's first international match in India in nearly a decade",3/9/16,Tamim steers Bangladesh to 153 7 against Netherland,,,
1394,"DHARAMSALA: Netherlands captain Peter Borren decided to field in the side's opening World T20 game against Bangladesh in Dharamsala. He said the pitch was likely to be good for batting over 40 overs, so they wanted to chase a target.Bangladesh made one change, bringing in Arafat Sunny in place of left-arm pace bowler Abu Hider who was in the XI in the Asia Cup final. Mustafizur Rahman has still not recovered from the side strain that kept him out of the last few matches of the Asia Cup. This was Bangladesh's first international match in India in nearly a decade.Netherlands went with the pace-bowling pair of Paul van Meekeren and Logan van Beek, and left out chinaman bowler Michael Rippon.Bangladesh: Tamim Iqbal, Soumya Sarkar, Sabbir Rahman, Mushfiqur Rahim (wk), Shakib Al Hasan, Mahmudullah, Nasir Hossain, Mashrafe Mortaza (captain), Al-Amin Hossain, Arafat Sunny, Taskin AhmedNetherlands: Stephan Myburgh, Wesley Barresi (wk), Ben Cooper, Tom Cooper, Peter Borren (captain), Roelof van der Merwe, Pieter Seelar, Mudassar Bukhari, Logan van Beek, Tim van der Gugten, Paul van Meekeren'",3/9/16,Bangladesh bat against Netherlands in Dhar,,,
1395,"DELHI: The India-Pakistan World T20 match, scheduled to be played at Dharamsala on March 19 has been moved to Eden Gardens in Kolkata, because of security concerns over the original venue.The ICC chief executive David Richardson made the announcement in Delhi on Wednesday, ending weeks of uncertainty over the fixture, which began with the Himachal Pradesh chief minister saying his government would not be able to provide adequate security for the match..""The decision to relocate the match has been made for security reasons,"" Richardson said. ""The concerns initially arose following alleged public comments recently reported by the Chief Minister of Himachal Pradesh, warning of demonstration and attempts to disrupt the peaceful conduct of the match.'Our concerns relate both to uncertainty as to the level of those threats as well as the level of commitment to implement any security plan developed to mitigate such treats.""The decision was not taken lightly. The ICC and the BCCI understand the disappointment that is likely to be felt by many over the decision to move the match. But the safety and security of the event is of paramount importance to the ICC and we have taken into consideration the concerns shared with us by our security advisors as well as Pakistan Cricket Board.""As far as those who have purchased tickets online for the match, they will be offered the choice of a full refund or the opportunity to exchange their tickets for ones for the Kolkata match.""Finally, I would like to confirm that the ICC has been assured by all relevant state authorities that all adequate security measure are in place and will be implemented to ensure that the event is staged in a safe and secure environment for all stakeholders.""Though the PCB had always expressed reservations about playing in Dharamsala once the issue began, the BCCI and the ICC remained confident the game would go ahead as planned.However, the problems came to a head this week after a three-man security delegation from Pakistan inspected the venue and were unhappy with the preparations. Their report to the PCB on Tuesday recommended that Pakistan not play at the venue, and the ICC announced the change in venue the next day.",3/9/16,Pak India World T20 venue shifted to Kolkata ICC,,,
1396,"ISLAMABAD: Following a crucial meeting between Prime Minister Nawaz Sharif and Interior Minister Chaudhry Nisar Ali Khan, Pakistan has decided not to participate in World Cup Twenty20 until India assures to provide full security to Pakistani team.",3/9/16,T20 WC Pakistan refuses to play against India in Dhar,,,
1397,"CALIFORNIA: While Maria Sharapova's fellow players were shocked by the Russian's announcement that she failed a drug test at the Australian Open, most of them felt the ""huge mistake"" could have been avoided.",3/10/16,Nadal points to Maria Sharapovas neglig,,,
1398,"DHARAMSALA: The persistent rain abandoned the match between Bangladesh and Ireland in the first round group A of the World Twenty20 here at the Himachal Pradesh Cricket Association Stadium on Friday.Thus, Ireland were knocked out of the World T20, when play was called off at 10:20pm local time, after rain had stopped the game after eight overs in the Bangladesh innings.Now, the Bangladesh-Oman encounter will decide who goes through from Group A, with both teams on three points each while the Netherlands and Ireland are on one point each.The match was always at the mercy of the weather after rain forced the Oman-Netherlands game earlier in the afternoon to be abandoned. Rain had stopped at around 7:30pm and allowed the match to start at 9:45pm, but it relented for just over an hour.The rain first delayed the match and was later restricted to 12-overs-a-side before Ireland captain William Porterfield won the toss and sent Bangladesh into bat first.However, Bangladesh batted at nearly 12 runs per over and when they reached 94 for two in just eight overs, rain again stopped the play and later the match was abandoned. Both teams were allotted one point each in the no-result match.Opener Tamim Iqbal made 47 off 26 balls, hitting four sixes and three boundaries.",3/11/16,Ireland knocked out in washout against Banglad,,,
1399,"DHARAMSALA: Ireland captain William Porterfield won the toss and elected to field first against Bangladesh in the eighth match of the of the World Twenty20 (first round, group A) here at the Himachal Pradesh Cricket Association on Friday.Both teams are playing their second match in the tournament. The match, delayed by rain, has been 'restricted to 12-overs-a-side.This will be a must-win game for Ireland as they were stunned by Oman in their first match.Rain had washed out the previous match of the day, between Oman and Netherlands, which was called off an hour and 20 minutes after the scheduled start.Bangladesh brought in Abu Hider and Mohammad Mithun in place of Nasir Hossain and Arafat Sunny, who is flying to Chennai on Saturday to have his bowling action tested after it was reported by the ICC. Taskin Ahmed, the other bowler whose action was reported, would play against Ireland.Ireland brought in left-arm spinner George Dockrell for seamer Craig Young.Teams:Bangladesh: Tamim Iqbal, Soumya Sarkar, Sabbir Rahman, Mushfiqur Rahim (wk), Shakib Al Hasan, Mahmudullah, Mithun Ali, Mashrafe Mortaza (captain), Al-Amin Hossain, Abu Hider Roni, Taskin AhmedIreland: William Porterfield (captain), Paul Stirling, Gary Wilson, Niall O'Brien (wk), Kevin O'Brien, Andrew Poynter, Andy McBrine, Max Sorensen, George Dockrell, Boyd Rankin, Craig YoungShakib Al Hasan is 21 runs away from becoming the first Bangladeshi batsman to reach 1,000 runs. Tamim Iqbal is close behind too, needing 58 runs to reach the same milestoneBangladesh has a 3-1 win-loss record over Ireland in T20Is but their last game was in July 2012.",3/11/16,Ireland win toss put Bangladesh into b,,,
1400,"DHARAMSALA: The first international match between Oman and Netherlands was washed out, without a ball being bowled, after persistent rain left large puddles on the field in Dharamsala.The result meant that Netherlands, who had launched themselves to the tournament proper in the previous World Twenty20 with a stirring run-chase, were knocked out, just two matches into their campaign this year.Oman, coming off a proper high, having scalped Associate favourites Ireland on Wednesday, however, remained in the hunt for the Super 10s, with three points from two games.The two sides shared points, after the match was abandoned at 4.48pm local time, an hour before the cut-off time.It had rained during the morning and overnight as well, leaving the ground staff with an uphill task. Rain, however, had relented at 2.45pm, which was just enough for the coin to go up.Oman captain Sultan Ahmed, the oldest captain in the tournament, opted to bowl, explaining that his decision was motivated by overhead conditions.Minutes after the toss, when the players were preparing to line up for the national anthems, rain returned, forcing the covers back on. The ground staff, in fact, covered the entire playing area. Rain, though, only got heavier, and had the final say.The forecast for the second match of the day, between Bangladesh and Ireland, also looks bleak.",3/11/16,Netherlands ousted after T20 against Oman washed ou,,,
1401,"ISLAMABAD: Pakistan's Interior Ministry has cleared the national cricket team to travel to India for the World Twenty20 after getting the full security assurances from Indian authorities following concerns about player safety, the Pakistan Cricket Board (PCB) said on Friday.Pakistan had earlier said its men's and women's teams would travel to India only after New Delhi gave a public guarantee on the safety of its players.""The interior minister has given permission to send the Pakistan cricket team to play the World T20 on the basis of solid assurances received from chief minister of West Bengal and the union home secretary and the home minister (in India),"" PCB executive committee chairman Najam Sethi told reporters.""The team is completely ready and hopefully they will fly to Dubai tonight and then from there will leave straight for India,"" Sethi added.Chairman Pakistan Cricket Board (PCB) Shaharyar Khan informed media that the interior minister Chaudhry Nisar Ali Khan officially permitted the PCB to send the cricket team to India for participating in the World Twenty20 tournament.Earlier, Najam Sethi, head PCB executive committee told media that the board had received Thursday night assurances from the International Cricket Council (ICC) and the Board of Cricket Control in India (BCCI) for give the Pakistan team a full security.Later on Friday, Pakistan high commissioner in India was assured by Indian home secretary Rajnath Singh to provide a foolproof security to Pakistan cricket team.Chief minister West Bengal Mamata Banerjee also assured Pakistan ambassador to give full security to the team.Subsequently, Najam Sethi called on federal interior minister and briefed him about the whole situation and also showed him correspondence between the PCB and the BCCI after which the minister decided to allowed to send the team to India.PCB chairman Shaharyar Khan told reporters in Lahore that the players were given the pullout option if they felt any security threat but all 15 squad members wanted to play in the tournament.""We want cricketing ties to remain active.Our hope is that our cricketing relations (between India and Pakistan) remain intact,"" Khan said.",3/11/16,Pak cricket team allowed to travel to India for World T20,,,
1402,"ISLAMABAD: Pakistan has decided to send its cricket team to India to participate in WorldT20 tournament after New Delhi assured it of providing foolproof security to players in the wake of threats from extremist elements, sources said on Friday.",3/11/16,Pakistan cricket team likely to depart for India Saturday,,,
1403,LAHORE: The Federal government has been asked by the Pakistan Cricket Board (PCB) to decide on cricket team's departure to India for taking part in the World T20 Cricket 2016 in India after assurance from the Western Bengal Cricket.,3/11/16,Govt to decide on teams departure PCB,,,
1404,"NEW DELHI: Indian government has assured full security to Pakistan cricket team in World Cup Twenty20 after hard-line Hindu nationalists threaten to dig up pitch if Pakistan play in India.'Following the assurance from Indian home minister publicly, consultation is being held at the interior ministry over the participation of Pakistan team and a decision regarding this would be made shortly.Earlier, Pakistan Cricket Board Chairman Shahryar Khan, while talking to Indian media, also confirmed Indian government and BCCI had given security assurance for the team, however, the final decision would be made by Interior Minister Nisar Ali Khan. 'Pakistan's Interior Minister, Chaudhry Nisar on Thursday ruled out Pakistani cricket team's departure to India to participate in Twenty20 World Cup until the Indian government comes up with a public assurance to provide fool-proof security to the team.A Hindu hard-line group on Thursday issued fresh threat to dig up the Eden Gardens pitch in Kolkata where Pakistan is expected to play its first match of the World T20 tournament after ICC shifted the venue from Dharamshala.The Anti-Terrorist Front of India has been opposing presence of the Pakistan team on Indian soil. Earlier, they had threatened to dig up the pitch at Dharamshala where the India-Pakistan rendezvous was expected.",3/11/16,T20 WC India assures full security to Pakistan,,,
1405,"NAGPUR: Scotland defeated Hong Kong under D/L method in the rain-affected match in the World Twenty20 first round group B here at the Vidarbha Cricket Association Stadium Saturday night.Scotland had gone 20 matches in ICC global events - since the 1999 World Cup - without a win. The losing streak hung like Coleridge's albatross around their necks. They were desperate to shake it off.In their 21st match, against Hong Kong on an unexpectedly rainy night in Nagpur, they finally did it and exited the World T20 with an eight-wicket win, which was set up by a sharp bowling performance.The portents were clear right from the third ball of the match. Left-arm spinner Mark Watt gave generous flight as the ball gripped the cracked pitch and tested Jamie Atkinson with slow turn. Some balls turned like that, some skidded on, while others stopped on the batsmen.The trio of Watt, Con de Lange, and Matt Machan combined to send Hong Kong on a tail spin with figures of 12-0-66-4.Rain gave Hong Kong brief respite, and the contest was then reduced to a 10-over shootout, after which Scotland overhauled the revised target of 76 with ease.George Munsey kick-started the chase with a flurry of fours. By the time he holed out, Scotland had knocked off more than one fourth of their target. And by the sixth over Scotland had dashed past 50, with several of their players lining up by the edge of the boundary to celebrate.",3/12/16,Scotland record first win at ICC global ev,,,
1406,KOLKATA: 'Pakistan cricket team arrived in India on Saturday evening to participate in the World Twenty20 cricket tournament amid tight security arrangements.,3/12/16,Pakistan cricket team reaches India to participate in World T20,,,
1407,"NAGPUR: Hong Kong set a target of 128 for Scotland in a dead rubber match of the first round Group B in the World Twenty20 here at the Vidarbha Cricket Association Stadium on Saturday.Winning the toss, Hong Kong captain Tanwir Afzal elected to bat first but his top-order batsmen failed to make a good start.At 33 for three, Mark Chapman and Anshuman Rath came to rescue and added 49 runs for the fourth wicket before Rath departed for 21.Then again wickets began falling at regular intervals and Chapman also gone out after top scoring with 40 runs. 'Then 28 runs were added in the last two overs and Hong Kong reached 127 for seven.Scotland made three changes - Con de Lange, the left-arm spinner, came in for off-spinner Michael Leask. Safyaan Sharif and Alasdair Evans were left out for Rob Taylor and Gavin Main.Hong Kong made one change - seamer Adil Mehmood, who had made his debut against Afghanistan last month in the Asia Cup, replaced Haseeb Amjad.",3/12/16,Hong Kong make 127 7 after bad start against S,,,
1408,"NAGPUR: Hong Kong captain Tanwir Afzal opted to bat in a dead rubber against Scotland, who were chasing their first win at an ICC event in 20 attempts since the 1999 World Cup.Preston Mommsen, the Scotland captain, conceded that he had preferred to bat as well, on a cracked pitch in Nagpur that showed signs of turn in the first match of the day between Afghanistan and Zimbabwe.Scotland made three changes - Con de Lange, the left-arm spinner, came in for off-spinner Michael Leask. Safyaan Sharif and Alasdair Evans were left out for Rob Taylor and Gavin Main.Hong Kong made one change - seamer Adil Mehmood, who had made his debut against Afghanistan last month in the Asia Cup, replaced Haseeb Amjad.Teams:Hong Kong : Jamie Atkinson (wk), Ryan Campbell, Babar Hayat, Mark Chapman, Anshuman Rath, Nizakat Khan, Kinchit Shah Tanwir Afzal (captain), Aizaz Khan 'Adil Mehmood, Nadeem AhmedScotland: George Munsey, Kyle Coetzer, Matthew Cross (wk), Matt Machan, Richie Berrington, Preston Mommsen (captain), Con de Lange, Josh Davey, Rob Taylor, Mark Watt, Gavin Main",3/12/16,Hong Kong bat against Scotland in dead rubber,,,
1409,"NAGPUR: Afghanistan, an ICC associate defeated full member Zimbabwe by 59 runs in the qualifiers first round group B match to enter the Super 10s stage of the World Twenty20 here at the Vidarbha Cricket Association Stadium on Saturday.Batting first after winning the toss, Afghanistan piled up a big total of 186 for six and then bowled out Zimbabwe for 127 in 19.4 overs.Zimbabwe failed to chase the huge target as none of their batsmen could resist against Afghan bowlers, who all were among the wickets except Gulbadin Naib.The highest score was just 17 not out, made by Tinashe Panyangara, who was also the most successful bowler with three for 32.For Afghanistan, pace bowlers Rashid Khan and Hamid Hassan captured three for 11and two for 11, respectively.Mohammad Nabi's career-best 52 helped Afghanistan recover from a mid-innings wobble and build on a strong start to post a total Zimbabwe never looked capable of chasing.Nabi and Samiullah Shenwari recorded their second-highest partnership after a rip-roaring start from Mohammad Shahzad.Before Nabi and Shenwari came together, Zimbabwe had taken four wickets in 20 balls. But their 98 runs off 64 balls lifted 'Afghanistan up to a rock-solid total.Nabi smashed two sixes and four boundaries in his 32- ball innings while Shenwari made 43 from37 balls with four fours and a six and Shahzad scored 40 off 23 balls with seven fours and a six.'",3/12/16,Afghanistan crush Zimbabwe to enter World T20 Super 10,,,
1410,"NAGPUR: Afghanistan piled up their best total in a World T20 match when they batted first in the tournament's qualifiers of the first round group B encounter against Zimbabwe here at the Vidarbha Cricket Association Stadium in Jamtha on Saturday.After winning the toss, Afghanistan decided to bat first and amassed 186 runs for six in the 20 overs with the help of brilliant knocks from Mohammad Nabi, 'Samiullah Shenwari and Mohammad Shahzad.Nabi smashed 52 off 32 balls with two sixes and four boundaries, Shenwari made 43 from37 balls with four fours and a six while opener Shahzad scored 40 off 23 balls with seven fours and a six.Nabi and Shenwari, who had to rebuild after a rip-roaring start from Shahzad, recorded their second-highest partnership. Before they had come together Zimbabwe had taken four wickets in 20 balls. But their 98 runs off 64 balls lifted 'Afghanistan up to a rock-solid total.Zimbabwean pacer Tinashe Panyangara claimed three wickets for 32.",3/12/16,Afghanistan amass 186 6 against Zimbab,,,
1411,"NAGPUR: Afghanistan captain Asghar Stanikzai won the toss and elected to bat first against Zimbabwe in the World T20 qualifiers of the first round group B here at the Vidarbha Cricket Association Stadium in Jamtha on Saturday.The match will be a knockout clash between the two teams as the winner of will enter the Super 10s stage of the World T20. Both teams have won two games each in the group stage so far and Zimbabwe's wins have come defending totals.Their batting line-up has struggled upfront but they did not make any changes to their XI in the must-win encounter.Afghanistan seemed to hold all the aces, having beaten Zimbabwe in all four of their previous T20I encounters and securing a comfortable win over Hong Kong.They kept the same team from that match for this one and expected conditions to be similar to what they were on Thursday.Teams:Zimbabwe: Hamilton Masakadza (captain), Vusi Sibanda, Richmond Mutumbami (wk), Sean Williams, Sikandar Raza, Malcolm Waller, Elton Chigumbura, Donald Tiripano, Wellington Masakadza, Tinashe Panyangara, Tendai ChataraAfghanistan: Mohammad Shahzad (wk), Noor Ali Zadran, Asghar Stanikzai (captain), Gulbadin Naib, Mohammad Nabi, Samiullah Shenwari, Najibullah Zadran, Shafiqullah, Rashid Khan, Dawlat Zadran, Hamid Hassan",3/12/16,Afghanistan bat in knockout clash against Zimbab,,,
1412,LAHORE: Pakistan cricket team on Friday night left for India via Abu Dhabi to participate in World Cup Twenty20 after getting full security assurances from Indian authorities.,3/12/16,Pakistan T20 squad leaves for India after security assur,,,
1413,MUMBAI: The World Twenty20 has provided a stage for Asian sides to flourish in its short history and host India's scintillating form leading up to the tournament will only fuel local hopes that the trend will continue.AUSTRALIA'S T20 CONUNDRUMFEARLESS ENGLAND,3/12/16,India favoured to keep Asia on top in WC T20,,,
1414,"Five-times grand slam tennis champion Maria Sharapova hit out at some media accounts of her doping case that she termed ""wrong"" in an open letter to her fans on Facebook on Friday.",3/12/16,Sharapova slams media coverage of doping,,,
1415,"DHARAMSALA:' Bangladesh won by 54 runs under D/L method in the rain affected World Twenty qualifiers Group A match against Oman here at the Himachal Pradesh Cricket Stadium on Sunday.Oman struggled in the chase, losing wickets regularly before rain made regular appearances and disappearances to shorten the game continually.In the end, Oman faced a task they could not keep up with and succumbed to a 54-run loss. Oman can take a lot away from this tournament, though. That win against Ireland will give their game a lot of confidence. 'Tamim Iqbal creamed the Oman bowlers to score Bangladesh's maiden T20 international century and secure his team's berth in the main draw of the tournament.His hundred set up a total of 180 for 2, which Shakib Al Hasan defended by razing the middle order on a rainy night in Dharamsala.Oman, who were flying high after a victory against Ireland, were shackled to 65 for 9 in 12 overs.The match was interrupted twice by rain and Oman's target was revised to 120 in 12 overs. They effectively needed 75 off 22 balls after the second break.Oman then lost a spate of wickets and were never going to get close, bringing to an end a frustrating week in Dharamsala, where bad weather affected four of the first-round matches.'",3/13/16,Bangladesh crush Oman to qualify for second round,,,
1416,"DHARAMSALA: 'Opener Tamim Iqbal guided Bangladesh with a brilliant unbeaten century to set a difficult target of 181 for Oman in a must-win match in the qualifiers Group A of the World Twenty20 here at the Himachal Pradesh Cricket Stadium on Sunday.The side that wins this game will go through to the main draw of the World T20.Sent into bat, Bangladesh made 180 for two, thanks to Tamim who ecame the first Bangladeshi batsman to score a hundred in a T20 International.Playing his 49th T20I, he also became the first Bangladeshi player to score 1000 or more runs in this format.The other most in-form batsman Sabbir Rehman along with Tamim added 97 runs for the second wicket before being bowled by leg-spinner Khawar Ali for 44 scored off 26 balls with five fours and a six.Tamim's opening partner Soumya Sarkar was bowled by left-arm spinner Lalcheta for 12 while Shakib Al Hasan scored an unbeaten 17 from nine balls with a six and two boundaries.Shakib, who is playing his 50th T20I, needs only four runs to complete 1,000 runs.'",3/13/16,Tamim ton helps Bangladesh set 181 for O,,,
